# EXAMENS ET AVIS COMPLEMENTAIRES - DDE-1
# Format : expression|TYPE_CANONIQUE
# Le TYPE est informatif pour cette version et permettra les evolutions futures.
test d'effort|TEST_EFFORT
epreuve d'effort|TEST_EFFORT
scintigraphie myocardique|SCINTIGRAPHIE_MYOCARDIQUE
scintigraphie|SCINTIGRAPHIE_MYOCARDIQUE
score calcique|SCORE_CALCIQUE
coroscanner|COROSCANNER
coro-scanner|COROSCANNER
scanner coronaire|COROSCANNER
scanner thoracique sans injection|SCANNER_THORACIQUE
scanner thoracique|SCANNER_THORACIQUE
angioscanner|ANGIOSCANNER
scanner|SCANNER
irm de stress|IRM_STRESS
irm|IRM
coronarographie|CORONAROGRAPHIE
echo-doppler veineux|ECHODOPPLER_VEINEUX
echodoppler veineux|ECHODOPPLER_VEINEUX
echo-doppler arteriel|ECHODOPPLER_ARTERIEL
echodoppler arteriel|ECHODOPPLER_ARTERIEL
echo-doppler des troncs supra-aortiques|ECHODOPPLER_TSA
echodoppler des troncs supra-aortiques|ECHODOPPLER_TSA
troncs supra-aortiques|ECHODOPPLER_TSA
echo-doppler des membres inferieurs|ECHODOPPLER_MI
echodoppler des membres inferieurs|ECHODOPPLER_MI
doppler des vaisseaux|DOPPLER
bilan vasculaire|BILAN_VASCULAIRE
avis neurologique|AVIS_NEUROLOGIE
neurologue|AVIS_NEUROLOGIE
avis gastro-enterologique|AVIS_GASTROENTEROLOGIE
avis gastroenterologique|AVIS_GASTROENTEROLOGIE
gastro-enterologue|AVIS_GASTROENTEROLOGIE
gastroenterologue|AVIS_GASTROENTEROLOGIE
avis pneumologique|AVIS_PNEUMOLOGIE
pneumologue|AVIS_PNEUMOLOGIE
avis nephrologique|AVIS_NEPHROLOGIE
nephrologue|AVIS_NEPHROLOGIE
avis hematologique|AVIS_HEMATOLOGIE
hematologue|AVIS_HEMATOLOGIE
avis vasculaire|AVIS_VASCULAIRE
chirurgien vasculaire|AVIS_VASCULAIRE
avis specialise|AVIS_SPECIALISE
irm cardiaque de stress|IRM_DE_STRESS
irm de stress|IRM_DE_STRESS
irm cardiaque|IRM_CARDIAQUE
polygraphie ventilatoire nocturne|RECHERCHE_SAOS
polygraphie nocturne|RECHERCHE_SAOS
recherche de syndrome d apnees du sommeil|RECHERCHE_SAOS
recherche de saos|RECHERCHE_SAOS
angioscanner pulmonaire|ANGIOSCANNER_PULMONAIRE
angioscanner des arteres pulmonaires|ANGIOSCANNER_PULMONAIRE
angioscanner tsa|ANGIOSCANNER_TSA
angioscanner des troncs supra-aortiques|ANGIOSCANNER_TSA
angioscanner des vaisseaux du cou|ANGIOSCANNER_TSA
angioscanner de l aorte et des membres inferieurs|ANGIOSCANNER_AORTE_MEMBRES_INFERIEURS
angioscanner aorte membres inferieurs|ANGIOSCANNER_AORTE_MEMBRES_INFERIEURS
angioscanner aorto-iliaque et membres inferieurs|ANGIOSCANNER_AORTE_MEMBRES_INFERIEURS
angioscanner des arteres renales|ANGIOSCANNER_ARTERES_RENALES
angioscanner arteres renales|ANGIOSCANNER_ARTERES_RENALES
angioscanner renal et surrenalien|ANGIOSCANNER_RENAL_SURRENALIEN
angioscanner des reins arteres renales et surrenales|ANGIOSCANNER_RENAL_SURRENALIEN
scanner renal|SCANNER_RENAL
scanner des reins|SCANNER_RENAL
scanner surrenalien|SCANNER_SURRENALIEN
scanner des surrenales|SCANNER_SURRENALIEN
echo-doppler arteriel des vaisseaux du cou et des membres inferieurs|ECHODOPPLER_ARTERIEL_TSA_ET_MEMBRES_INFERIEURS
echodoppler arteriel des vaisseaux du cou et des membres inferieurs|ECHODOPPLER_ARTERIEL_TSA_ET_MEMBRES_INFERIEURS
echo-doppler arteriel tsa et membres inferieurs|ECHODOPPLER_ARTERIEL_TSA_ET_MEMBRES_INFERIEURS
echodoppler arteriel tsa et membres inferieurs|ECHODOPPLER_ARTERIEL_TSA_ET_MEMBRES_INFERIEURS
echo-doppler arteriel des membres inferieurs|ECHODOPPLER_ARTERIEL_MEMBRES_INFERIEURS
echodoppler arteriel des membres inferieurs|ECHODOPPLER_ARTERIEL_MEMBRES_INFERIEURS
hospitalisation au ccn|HOSPITALISATION_CCN
hospitalisation ccn|HOSPITALISATION_CCN
admission au ccn|HOSPITALISATION_CCN
hospitalisation dans un autre centre|HOSPITALISATION_AUTRE_CENTRE
hospitalisation dans votre centre|HOSPITALISATION_AUTRE_CENTRE
hospitalisation|HOSPITALISATION_AUTRE_CENTRE
admission hospitaliere|HOSPITALISATION_AUTRE_CENTRE
avis neurologique|AVIS_NEUROLOGIQUE
avis gastro-enterologique|AVIS_GASTROENTEROLOGIQUE
avis gastroenterologique|AVIS_GASTROENTEROLOGIQUE
avis rythmologique|AVIS_RYTHMOLOGIQUE
avis pneumologique|AVIS_PNEUMOLOGIQUE
avis nephrologique|AVIS_NEPHROLOGIQUE
avis hematologique|AVIS_HEMATOLOGIQUE
